PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32625493","Vector-borne diseases","EFSA Panel on Animal Health and Welfare; More S, Bicout D, Bøtner A, Butterworth A, Calistri P, De Koeijer A, Depner K, Edwards S, Garin-Bastuji B, Good M, Gortazar Schmidt C, Michel V, Miranda MA, Nielsen SS, Raj M, Sihvonen L, Spoolder H, Thulke HH, Velarde A, Willeberg P, Winckler C, Bau A, Beltran-Beck B, Carnesecchi E, Casier P, Czwienczek E, Dhollander S, Georgiadis M, Gogin A, Pasinato L, Richardson J, Riolo F, Rossi G, Watts M, Lima E, Stegeman JA.","EFSA J. 2017 May 11;15(5):e04793. doi: 10.2903/j.efsa.2017.4793. eCollection 2017 May.","EFSA Panel on Animal Health and Welfare","EFSA J","2017","2020/07/07","PMC7009857","","10.2903/j.efsa.2017.4793"
"37009444","Welfare of calves","EFSA Panel on Animal Health and Animal Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortazar Schmidt C, Herskin M, Michel V, Miranda Chueca MA, Padalino B, Pasquali P, Roberts HC, Spoolder H, Stahl K, Velarde A, Viltrop A, Jensen MB, Waiblinger S, Candiani D, Lima E, Mosbach-Schulz O, Van der Stede Y, Vitali M, Winckler C.","EFSA J. 2023 Mar 29;21(3):e07896. doi: 10.2903/j.efsa.2023.7896. eCollection 2023 Mar.","EFSA Panel on Animal Health and Animal Welfare (AHAW)","EFSA J","2023","2023/04/03","PMC10050971","","10.2903/j.efsa.2023.7896"
"32625288","Avian influenza","EFSA Panel on Animal Health and Welfare (AHAW); More S, Bicout D, Bøtner A, Butterworth A, Calistri P, Depner K, Edwards S, Garin-Bastuji B, Good M, Gortázar Schmidt C, Michel V, Miranda MA, Nielsen SS, Raj M, Sihvonen L, Spoolder H, Thulke HH, Velarde A, Willeberg P, Winckler C, Breed A, Brouwer A, Guillemain M, Harder T, Monne I, Roberts H, Baldinelli F, Barrucci F, Fabris C, Martino L, Mosbach-Schulz O, Verdonck F, Morgado J, Stegeman JA.","EFSA J. 2017 Oct 16;15(10):e04991. doi: 10.2903/j.efsa.2017.4991. eCollection 2017 Oct.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2017","2020/07/07","PMC7009867","","10.2903/j.efsa.2017.4991"
"36092763","Welfare of pigs during transport","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Schmidt CG, Michel V, Miranda Chueca MÁ, Padalino B, Pasquali P, Roberts HC, Spoolder H, Stahl K, Velarde A, Viltrop A, Winckler C, Earley B, Edwards S, Faucitano L, Marti S, de La Lama GCM, Costa LN, Thomsen PT, Ashe S, Mur L, Van der Stede Y, Herskin M.","EFSA J. 2022 Sep 7;20(9):e07445. doi: 10.2903/j.efsa.2022.7445. eCollection 2022 Sep.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2022","2022/09/12","PMC9449989","","10.2903/j.efsa.2022.7445"
"36092766","Welfare of cattle during transport","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Michel V, Miranda Chueca MÁ, Padalino B, Pasquali P, Roberts HC, Spoolder H, Stahl K, Velarde A, Viltrop A, Winckler C, Earley B, Edwards S, Faucitano L, Marti S, de La Lama GCM, Costa LN, Thomsen PT, Ashe S, Mur L, Van der Stede Y, Herskin M.","EFSA J. 2022 Sep 7;20(9):e07442. doi: 10.2903/j.efsa.2022.7442. eCollection 2022 Sep.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2022","2022/09/12","PMC9449995","","10.2903/j.efsa.2022.7442"
"36092762","Welfare of equidae during transport","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Michel V, Miranda Chueca MÁ, Padalino B, Pasquali P, Roberts HC, Spoolder H, Stahl K, Velarde A, Viltrop A, Winckler C, Earley B, Edwards S, Faucitano L, Marti S, Miranda de La Lama GC, Costa LN, Thomsen PT, Ashe S, Mur L, Van der Stede Y, Herskin M.","EFSA J. 2022 Sep 7;20(9):e07444. doi: 10.2903/j.efsa.2022.7444. eCollection 2022 Sep.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2022","2022/09/12","PMC9449990","","10.2903/j.efsa.2022.7444"
"37200854","Welfare of dairy cows","EFSA Panel on Animal Health and Animal Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Herskin M, Michel V, Miranda Chueca MÁ, Padalino B, Roberts HC, Spoolder H, Stahl K, Velarde A, Viltrop A, De Boyer des Roches A, Jensen MB, Mee J, Green M, Thulke HH, Bailly-Caumette E, Candiani D, Lima E, Van der Stede Y, Winckler C.","EFSA J. 2023 May 16;21(5):e07993. doi: 10.2903/j.efsa.2023.7993. eCollection 2023 May.","EFSA Panel on Animal Health and Animal Welfare (AHAW)","EFSA J","2023","2023/05/18","PMC10186071","","10.2903/j.efsa.2023.7993"
"34765030","Welfare of sheep and goats at slaughter","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Gortázar Schmidt C, Herskin M, Miranda Chueca MÁ, Padalino B, Pasquali P, Roberts HC, Spoolder H, Stahl K, Velarde A, Viltrop A, Winckler C, Candiani D, Rapagnà C, Van der Stede Y, Michel V.","EFSA J. 2021 Nov 8;19(11):e06882. doi: 10.2903/j.efsa.2021.6882. eCollection 2021 Nov.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2021","2021/11/12","PMC8573542","","10.2903/j.efsa.2021.6882"
"36034323","Welfare of pigs on farm","EFSA Panel on Animal Health and Welfare (AHAW); Nielsen SS, Alvarez J, Bicout DJ, Calistri P, Canali E, Drewe JA, Garin-Bastuji B, Gonzales Rojas JL, Schmidt G, Herskin M, Michel V, Miranda Chueca MÁ, Mosbach-Schulz O, Padalino B, Roberts HC, Stahl K, Velarde A, Viltrop A, Winckler C, Edwards S, Ivanova S, Leeb C, Wechsler B, Fabris C, Lima E, Mosbach-Schulz O, Van der Stede Y, Vitali M, Spoolder H.","EFSA J. 2022 Aug 25;20(8):e07421. doi: 10.2903/j.efsa.2022.7421. eCollection 2022 Aug.","EFSA Panel on Animal Health and Welfare (AHAW)","EFSA J","2022","2022/08/29","PMC9405538","","10.2903/j.efsa.2022.7421"
"36524203","The European Union One Health 2021 Zoonoses Report","European Food Safety Authority; European Centre for Disease Prevention and Control.","EFSA J. 2022 Dec 13;20(12):e07666. doi: 10.2903/j.efsa.2022.7666. eCollection 2022 Dec.","European Food Safety Authority","EFSA J","2022","2022/12/16","PMC9745727","","10.2903/j.efsa.2022.7666"
